,MW,type
FBA_num1,36.55148816,ribozyme
FBA_num2,36.55148816,ribozyme
PGI,36.55148816,ribozyme
PGL,36.55148816,ribozyme
RPE,36.55148816,ribozyme
TALA_num1,36.55148816,ribozyme
TALA_num2,36.55148816,ribozyme
TKT1_num1,36.55148816,ribozyme
TKT1_num2,36.55148816,ribozyme
GND,36.55148816,ribozyme
G6PDH2r,36.55148816,ribozyme
TKT2_num1,36.55148816,ribozyme
TKT2_num2,36.55148816,ribozyme
GLCptspp_num1,36.55148816,ribozyme
GLCptspp_num2,36.55148816,ribozyme
GLCptspp_num3,36.55148816,ribozyme
PFK_num1,36.55148816,ribozyme
PFK_num2,36.55148816,ribozyme
RPI_num1,36.55148816,ribozyme
RPI_num2,36.55148816,ribozyme
FBA_reverse_num1,36.55148816,ribozyme
FBA_reverse_num2,36.55148816,ribozyme
PGI_reverse,36.55148816,ribozyme
RPE_reverse,36.55148816,ribozyme
TALA_reverse_num1,36.55148816,ribozyme
TALA_reverse_num2,36.55148816,ribozyme
TKT1_reverse_num1,36.55148816,ribozyme
TKT1_reverse_num2,36.55148816,ribozyme
G6PDH2r_reverse,36.55148816,ribozyme
TKT2_reverse_num1,36.55148816,ribozyme
TKT2_reverse_num2,36.55148816,ribozyme
RPI_reverse_num1,36.55148816,ribozyme
RPI_reverse_num2,36.55148816,ribozyme
