,MW,kcat,type,kcat_MW
FBA_num1,36.55148816,3744.5931791999997,ribozyme,102.44707856513166
FBA_num2,36.55148816,3744.5931791999997,ribozyme,102.44707856513166
PGI,36.55148816,25560.0,ribozyme,699.2875334682407
PGL,36.55148816,66240.0,ribozyme,1812.2381149036096
RPE,36.55148816,19853.318761200004,ribozyme,543.1603406759897
TALA_num1,36.55148816,4993.7715972000005,ribozyme,136.62293516861286
TALA_num2,36.55148816,4993.7715972000005,ribozyme,136.62293516861286
TKT1_num1,36.55148816,18290.41236,ribozyme,500.4013045908224
TKT1_num2,36.55148816,18290.41236,ribozyme,500.4013045908224
GND,36.55148816,7920.0,ribozyme,216.68064417325766
G6PDH2r,36.55148816,55800.0,ribozyme,1526.613629402497
TKT2_num1,36.55148816,32406.5525472,ribozyme,886.6000860305328
TKT2_num2,36.55148816,32406.5525472,ribozyme,886.6000860305328
PFK_num1,36.55148816,100080.0,ribozyme,2738.0554127348014
PFK_num2,36.55148816,100080.0,ribozyme,2738.0554127348014
RPI_num1,36.55148816,7100.238272400002,ribozyme,194.25305588980436
RPI_num2,36.55148816,7100.238272400002,ribozyme,194.25305588980436
FBA_reverse_num1,36.55148816,3432.63331224,ribozyme,93.91227238721545
FBA_reverse_num2,36.55148816,3432.63331224,ribozyme,93.91227238721545
PGI_reverse,36.55148816,32346.269920799998,ribozyme,884.9508337172995
RPE_reverse,36.55148816,10836.695718,ribozyme,296.47755162699787
TALA_reverse_num1,36.55148816,1700.7888621600005,ribozyme,46.531316446405405
TALA_reverse_num2,36.55148816,1700.7888621600005,ribozyme,46.531316446405405
TKT1_reverse_num1,36.55148816,2176.89026364,ribozyme,59.55681623989998
TKT1_reverse_num2,36.55148816,2176.89026364,ribozyme,59.55681623989998
G6PDH2r_reverse,36.55148816,2784.4115878800003,ribozyme,76.17778996279314
TKT2_reverse_num1,36.55148816,14980.684914000001,ribozyme,409.8515728942075
TKT2_reverse_num2,36.55148816,14980.684914000001,ribozyme,409.8515728942075
RPI_reverse_num1,36.55148816,8559.3190644,ribozyme,234.1715616866966
RPI_reverse_num2,36.55148816,8559.3190644,ribozyme,234.1715616866966
